,symbol,identifier,series,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,totalTradedVolume,totalTradedValue,lastUpdateTime,yearHigh,yearLow,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,meta
53,GODREJPROP,,EQ,1250.35,1261.95,1237,1259.9,1250.35,9.55,0.76,411798,516089961.5,31-Dec-99,2484,1129.55,49.27938808,-11.5399938,-52.57,14-Oct-21,https://static.nseindia.com/sparklines/365d/GODREJPROP-EQ.jpg,16-Sep-22,-10.82,https://static.nseindia.com/sparklines/30d/GODREJPROP-EQ.jpg,https://static.nseindia.com/sparklines/today/GODREJPROPEQN.jpg,"{'symbol': 'GODREJPROP', 'companyName': 'Godrej Properties Limited', 'industry': 'CONSTRUCTION', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE484J01027'}"
54,WIPRO,,EQ,388.5,392.4,385.65,391.3,388.5,2.8,0.72,4511815,1750674456,31-Dec-99,726.8,372.4,46.16125482,-5.07518797,-47.04,14-Oct-21,https://static.nseindia.com/sparklines/365d/WIPRO-EQ.jpg,16-Sep-22,-6.61,https://static.nseindia.com/sparklines/30d/WIPRO-EQ.jpg,https://static.nseindia.com/sparklines/today/WIPROEQN.jpg,"{'symbol': 'WIPRO', 'companyName': 'Wipro Limited', 'industry': 'COMPUTERS - SOFTWARE', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE075A01022'}"
55,CANBK,,EQ,295.95,300.5,295.2,297.15,295.05,2.1,0.71,11224987,3341454130,31-Dec-99,300.5,171.75,1.114808652,-73.01310044,22.66,14-Oct-21,https://static.nseindia.com/sparklines/365d/CANBK-EQ.jpg,16-Sep-22,-2.84,https://static.nseindia.com/sparklines/30d/CANBK-EQ.jpg,https://static.nseindia.com/sparklines/today/CANBKEQN.jpg,"{'symbol': 'CANBK', 'companyName': 'Canara Bank', 'industry': 'BANKS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': ['IL'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE476A01014'}"
56,CHOLAFIN,,EQ,762.4,766.8,758,763.35,758.6,4.75,0.63,961403,732954419.1,31-Dec-99,817.75,469.25,6.652399878,-62.67448055,23.29,14-Oct-21,https://static.nseindia.com/sparklines/365d/CHOLAFIN-EQ.jpg,16-Sep-22,-4.72,https://static.nseindia.com/sparklines/30d/CHOLAFIN-EQ.jpg,https://static.nseindia.com/sparklines/today/CHOLAFINEQN.jpg,"{'symbol': 'CHOLAFIN', 'companyName': 'Cholamandalam Investment and Finance Company Limited', 'industry': 'FINANCE', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': ['BE', 'W1'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE121A13011'}"
57,ASTRAL,,EQ,2076,2109.3,2063.55,2088.5,2075.55,12.95,0.62,308390,643283036.6,31-Dec-99,2654.8,1581.55,21.33117372,-32.05399766,-8.12,14-Oct-21,https://static.nseindia.com/sparklines/365d/ASTRAL-EQ.jpg,16-Sep-22,-8.14,https://static.nseindia.com/sparklines/30d/ASTRAL-EQ.jpg,https://static.nseindia.com/sparklines/today/ASTRALEQN.jpg,"{'symbol': 'ASTRAL', 'companyName': 'Astral Limited', 'industry': 'PLASTIC AND PLASTIC PRODUCTS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE006I01046'}"
58,INDUSTOWER,,EQ,187.9,190.5,187.55,188.95,187.8,1.15,0.61,1401932,265427785.6,31-Dec-99,307,181.2,38.45276873,-4.277041943,-38.38,14-Oct-21,https://static.nseindia.com/sparklines/365d/INDUSTOWER-EQ.jpg,16-Sep-22,-7.69,https://static.nseindia.com/sparklines/30d/INDUSTOWER-EQ.jpg,https://static.nseindia.com/sparklines/today/INDUSTOWEREQN.jpg,"{'symbol': 'INDUSTOWER', 'companyName': 'Indus Towers Limited', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE121J01017'}"
59,HAL,,EQ,2558.7,2574,2525.6,2559,2545.15,13.85,0.54,932905,2381174709,19-Aug-22,2638.35,1181.2,3.007561544,-116.6440908,63.74,14-Oct-21,https://static.nseindia.com/sparklines/365d/HAL-EQ.jpg,16-Sep-22,-4.81,https://static.nseindia.com/sparklines/30d/HAL-EQ.jpg,https://static.nseindia.com/sparklines/today/HALEQN.jpg,"{'symbol': 'HAL', 'companyName': 'Hindustan Aeronautics Limited', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE066F01012'}"
60,DABUR,,EQ,557.4,560.4,554.15,558.9,555.9,3,0.54,620438,345224112,03-Nov-22,625,482.25,10.576,-15.89424572,-13.86,14-Oct-21,https://static.nseindia.com/sparklines/365d/DABUR-EQ.jpg,16-Sep-22,-3.01,https://static.nseindia.com/sparklines/30d/DABUR-EQ.jpg,https://static.nseindia.com/sparklines/today/DABUREQN.jpg,"{'symbol': 'DABUR', 'companyName': 'Dabur India Limited', 'industry': 'PERSONAL CARE', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE016A01026'}"
61,LICHSGFIN,,EQ,369.9,375.8,362.4,371.9,369.9,2,0.54,4621698,1707301458,19-Sep-22,443.6,291.75,16.1632101,-27.47215081,-7.9,14-Oct-21,https://static.nseindia.com/sparklines/365d/LICHSGFIN-EQ.jpg,16-Sep-22,-5.18,https://static.nseindia.com/sparklines/30d/LICHSGFIN-EQ.jpg,https://static.nseindia.com/sparklines/today/LICHSGFINEQN.jpg,"{'symbol': 'LICHSGFIN', 'companyName': 'LIC Housing Finance Limited', 'industry': 'FINANCE - HOUSING', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE115A01026'}"
62,RAIN,,EQ,175,175.9,170,171.45,170.55,0.9,0.53,7398439,1274011196,11-Aug-22,255.8,128.6,32.97498045,-33.32037325,-30.68,14-Oct-21,https://static.nseindia.com/sparklines/365d/RAIN-EQ.jpg,16-Sep-22,-6.32,https://static.nseindia.com/sparklines/30d/RAIN-EQ.jpg,https://static.nseindia.com/sparklines/today/RAINEQN.jpg,"{'symbol': 'RAIN', 'companyName': 'Rain Industries Limited', 'industry': 'PETROCHEMICALS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': ['BE'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE855B01025'}"
